City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Pangnirtung,CA,2022-04-11 15:54:24,66.1451,-65.7125,19.4,63,20,2.3,few clouds
192,Norman Wells,CA,2022-04-11 15:50:16,65.282,-126.8329,6.84,72,100,9.22,overcast clouds
193,Ribeira Grande,PT,2022-04-11 15:54:24,38.5167,-28.7,63.0,82,75,23.02,broken clouds
194,Palafrugell,ES,2022-04-11 15:54:25,41.9174,3.1631,62.35,52,91,3.0,overcast clouds
195,Tuatapere,NZ,2022-04-11 15:54:25,-46.1333,167.6833,50.88,93,100,7.61,light rain
196,Khatanga,RU,2022-04-11 15:54:25,71.9667,102.5,-12.3,100,92,1.39,overcast clouds
197,Dubbo,AU,2022-04-11 15:54:26,-32.25,148.6167,59.13,88,2,5.75,clear sky
198,Kuah,MY,2022-04-11 15:54:26,6.3265,99.8432,82.38,83,20,2.3,few clouds
199,Longyearbyen,SJ,2022-04-11 15:54:27,78.2186,15.6401,10.24,61,20,11.5,few clouds
200,Cabo San Lucas,MX,2022-04-11 15:54:27,22.8909,-109.9124,75.61,62,90,8.01,overcast clouds
201,Sibolga,ID,2022-04-11 15:54:27,1.7427,98.7792,76.32,87,100,2.62,overcast clouds
202,Hambantota,LK,2022-04-11 15:54:27,6.1241,81.1185,75.54,100,40,3.44,shower rain
203,Pauini,BR,2022-04-11 15:54:28,-7.7136,-66.9764,81.57,88,100,3.09,overcast clouds
204,Ipoti,NG,2022-04-11 15:54:28,7.8738,5.0769,74.53,83,77,8.84,heavy intensity rain
205,Harrisburg,US,2022-04-11 15:54:28,40.2737,-76.8844,56.3,51,0,9.22,clear sky
206,Kodiak,US,2022-04-11 15:54:29,57.79,-152.4072,35.46,54,38,5.21,scattered clouds
207,Mayo,US,2022-04-11 15:54:29,38.8876,-76.5119,58.17,49,0,9.22,clear sky
208,Zhigansk,RU,2022-04-11 15:54:29,66.7697,123.3711,1.58,97,75,8.5,broken clouds
209,Price,US,2022-04-11 15:54:30,39.5994,-110.8107,45.12,21,40,6.8,scattered clouds
210,Nanortalik,GL,2022-04-11 15:54:30,60.1432,-45.2371,35.2,58,92,7.16,overcast clouds
211,Lasa,IT,2022-04-11 15:53:57,46.6166,10.7002,57.69,69,44,2.75,scattered clouds
212,Sao Filipe,CV,2022-04-11 15:54:30,14.8961,-24.4956,71.71,72,66,11.7,broken clouds
213,Flinders,AU,2022-04-11 15:54:31,-34.5833,150.8552,64.18,88,100,5.99,overcast clouds
214,Esperance,AU,2022-04-11 15:54:31,-33.8667,121.9,62.44,93,100,11.12,overcast clouds
215,Ostrovnoy,RU,2022-04-11 15:54:31,68.0531,39.5131,35.31,87,56,28.45,broken clouds
216,Hollins,US,2022-04-11 15:54:32,37.3413,-79.9431,73.18,36,13,4.0,few clouds
217,Morondava,MG,2022-04-11 15:54:32,-20.2833,44.2833,83.19,73,38,7.4,scattered clouds
218,Ocos,GT,2022-04-11 15:54:32,14.5094,-92.1933,89.78,58,20,8.63,few clouds
219,Aldan,RU,2022-04-11 15:54:32,58.6031,125.3894,8.83,98,100,1.07,overcast clouds
220,Lebu,CL,2022-04-11 15:54:33,-37.6167,-73.65,55.65,61,45,6.04,scattered clouds
221,Konstantinovka,RU,2022-04-11 15:54:33,49.6167,127.9833,31.46,82,98,5.37,overcast clouds
222,Kolda,SN,2022-04-11 15:54:33,12.8833,-14.95,104.31,14,0,4.61,clear sky
223,Kostomuksha,RU,2022-04-11 15:54:34,64.571,30.5767,32.94,82,80,10.02,broken clouds
224,Bredasdorp,ZA,2022-04-11 15:54:34,-34.5322,20.0403,71.26,61,0,7.47,clear sky
225,Slonim,BY,2022-04-11 15:55:35,53.0867,25.3219,44.22,53,82,5.1,broken clouds
226,Bandar-E Lengeh,IR,2022-04-11 15:55:35,26.5579,54.8807,80.71,74,3,13.8,haze
227,Roald,NO,2022-04-11 15:55:35,62.5833,6.1333,41.32,70,75,9.22,broken clouds
228,Itabira,BR,2022-04-11 15:55:36,-19.6192,-43.2269,79.29,61,90,3.15,overcast clouds
229,Giddalur,IN,2022-04-11 15:55:36,15.35,78.9167,83.28,55,94,4.83,overcast clouds
230,Mitsamiouli,KM,2022-04-11 15:55:36,-11.3847,43.2844,83.03,77,37,9.73,light rain
231,Berdigestyakh,RU,2022-04-11 15:55:37,62.0989,126.6992,1.06,100,76,3.83,broken clouds
232,Port Elizabeth,ZA,2022-04-11 15:55:37,-33.918,25.5701,74.1,84,0,11.5,clear sky
233,Sargodha,PK,2022-04-11 15:55:37,32.0836,72.6711,90.68,9,100,6.08,overcast clouds
234,Narsaq,GL,2022-04-11 15:55:38,60.9167,-46.05,39.38,42,60,11.72,broken clouds
235,Bousso,TD,2022-04-11 15:55:38,10.4795,16.7117,99.52,25,77,4.34,broken clouds
236,Hami,CN,2022-04-11 15:55:38,42.8,93.45,55.67,13,31,8.21,scattered clouds
237,Haines Junction,CA,2022-04-11 15:55:39,60.7522,-137.5108,19.35,58,100,4.61,overcast clouds
238,Ovalle,CL,2022-04-11 15:55:39,-30.5983,-71.2003,70.99,42,0,4.16,clear sky
239,Sai Buri,TH,2022-04-11 15:55:39,6.7013,101.6168,78.17,84,59,3.04,broken clouds
240,Balagansk,RU,2022-04-11 15:55:40,54.0103,103.0544,27.63,80,100,8.43,overcast clouds
